,0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 97, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 92, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 93, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 94, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 95, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 96, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 98, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 99, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 100, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 101, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 102, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 103, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 104, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 105, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 106, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 107, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 108, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 109, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 110, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 111, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 112, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 113, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 114, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 115, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 116, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 117, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 118, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 119, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 120, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 121, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 122, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 123, '29.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 125, '30.0')",0
